SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMTSTPTREF,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,SMAFRZE,SMGTC,SME2MPRT,SMCHMPRS,SMNTRART,SMNUMGPS,SMMAPRT,SMEXNCRT,SM550NRM,SMGNSDTC,SMUNMPRT,SM350NRM,SMRDLGTH,SMMNCPB,SME1MMRT,SMSFLGTH,SMESTLBS,SMMPPD,SMNTERRT,SMRRNANM,SMRDTTL,SMVQCFL,SMMNCV,SMTRSCPT,SMMPPDPR,SMCGLGTH,SMGAPPCT,SMUNPDRD,SMNTRNRT,SMMPUNRT,SMEXPEFF,SMMPPDUN,SME2MMRT,SME2ANTI,SMALTALG,SME2SNSE,SMMFLGTH,SME1ANTI,SMSPLTRD,SMBSMMRT,SME1SNSE,SME1PCTS,SMRRNART,SME1MPRT,SMNUM5CD,SMDPMPRT,SME2PCTS
GTEX-1399T-0011-R6b-SM-5K7YL,,"B1, A1",,7.1,Brain,Brain - Nucleus accumbens (basal ganglia),1882,,,Presumed Death,BP-45525,RNA isolation_PAXgene Tissue miRNA,11/6/13,LCSET-4819,3/16/14,TrueSeq.v1,USE ME,,0.92924196,65983,0.9604487,1064,0.9385599,0.8781404,0.26171955,25540,0.6675998,0.79949945,76,38.889027,0.002663542,235,36892773,63521131,0.03931876,4973011,67679358,12108960,0.6807572,145966,30738577,77141,0.04038102,0,0.08230831,0.6265824,0.82418734,42406695,0.002792681,13424041,3809647,13474304,211,13553703,6523034,0.002727471,13876571,50.588524,0.07347899,0.94787776,822,0.33240017,50.093433
GTEX-1399T-0011-R8b-SM-5IJD8,,"B1, A1",,6.8,Brain,Brain - Hypothalamus,1898,,,Presumed Death,BP-45525,RNA isolation_PAXgene Tissue miRNA,11/6/13,LCSET-4814,3/4/14,TrueSeq.v1,USE ME,,0.92062867,75528,0.9543956,909,0.93282413,0.87706983,0.25964254,26100,0.69640917,0.82826996,76,46.455112,0.003864286,226,47006238,71029968,0.04533033,4682922,76145078,9579518,0.6798479,147920,34265741,70782,0.037229817,0,0.0773258,0.64962727,0.8181519,49465920,0.003024239,14814268,4325279,14952235,215,15098396,8171830,0.003449753,15445445,50.56812,0.061499994,0.9450196,837,0.30359083,50.23175
GTEX-1399T-3026-SM-5KLZC,1,B1,2 pieces,6.7,Brain,Brain - Cortex,1870,1014,831,Presumed Death,BP-46589,RNA Extraction from Paxgene-derived Lysate Plate Based,12/4/13,LCSET-4820,3/20/14,TrueSeq.v1,USE ME,,0.91299516,74218,0.9578195,715,0.92207265,0.87886393,0.2912787,26269,0.66216284,0.75352776,76,57.228123,0.003285484,292,49749491,86918707,0.04188989,5777753,94264486,4100736,0.63680416,148544,41918620,53259,0.03032263,0,0.07895558,0.6105622,0.81037635,57554334,0.002972076,18174073,5255422,18558010,283,18711708,9775284,0.003130323,18736658,50.03331,0.061293,0.9311501,871,0.33783722,50.522617
GTEX-139T8-0011-R5b-SM-5J1MO,,"C1, A1",,6,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-45525,RNA isolation_PAXgene Tissue miRNA,11/6/13,LCSET-4816,3/22/14,TrueSeq.v1,USE ME,,0.9056125,72794,0.97089136,1069,0.91485965,0.92010206,0.21993686,24176,0.410672,0.899474,76,39.789135,0.003850103,400,20466733,88882184,0.02901657,12802358,97153900,5764206,0.7474924,138796,42874342,84835,0.046221834,0,0.050789278,0.37570724,0.8417642,36501425,0.003551057,19048424,5137052,19529437,380,19500099,6344727,0.003702092,19845533,50.438972,0.131774,0.9241067,785,0.589328,50.623432
GTEX-139T8-1026-SM-5J2MC,1,C1,"4 pieces, no abnormalities",6.1,Brain,Brain - Cortex,1870,671,504,Actual Death,BP-45499,RNA Extraction from Paxgene-derived Lysate Plate Based,11/5/13,LCSET-4817,3/22/14,TrueSeq.v1,USE ME,,0.8224234,69647,0.95391047,803,0.87101275,0.8883754,0.30374965,25434,0.5802598,0.7558975,76,47.921688,0.003922779,290,34672053,81531909,0.045810945,9052998,93605878,5196186,0.6136599,146151,37432672,58971,0.03282787,0,0.065535,0.50541365,0.77378625,47309692,0.004178533,16293558,6200243,16665198,259,18297703,8627566,0.004043522,18471812,50.236755,0.09671399,0.91960204,871,0.41974014,50.563797
GTEX-139TS-0011-R10a-SM-5K7TU,,"B1, A1",,6.4,Brain,Brain - Frontal Cortex (BA9),9834,,,Presumed Death,BP-45421,RNA isolation_PAXgene Tissue miRNA,11/4/13,LCSET-4818,3/12/14,TrueSeq.v1,USE ME,,0.90519637,78918,0.9644786,1166,0.9142383,0.92448324,0.23732807,24210,0.53584063,0.7755453,76,49.41752,0.003915921,401,31233168,87603515,0.03520925,9383876,95821312,6463988,0.668964,142292,42243272,109692,0.056312375,0,0.03999536,0.48988602,0.8451979,46941520,0.003361136,18412856,5347885,18919341,350,19003579,9182102,0.003641272,19058114,50.071644,0.09793099,0.9232803,772,0.46415943,50.678345
GTEX-139TS-0011-R5b-SM-5J2MZ,,"B1, A1",,6.1,Brain,Brain - Caudate (basal ganglia),1873,,,Presumed Death,BP-45525,RNA isolation_PAXgene Tissue miRNA,11/6/13,LCSET-4817,3/22/14,TrueSeq.v1,USE ME,,0.81972426,52942,0.96277744,939,0.86829656,0.8779596,0.3198643,25488,0.5078785,0.7262947,76,30.390371,0.004172147,183,22357506,69833997,0.037050318,6435482,80426440,4423094,0.6290402,146222,32062930,64221,0.035356976,0,0.08481786,0.4409891,0.7623293,35467182,0.004486675,14172583,4844636,14557631,195,15923238,5324219,0.004320614,16110145,50.291737,0.08001699,0.9168688,839,0.49212155,50.67011
GTEX-139TS-0011-R6a-SM-5J2OB,,"B1, A1",,6.4,Brain,Brain - Nucleus accumbens (basal ganglia),1882,,,Presumed Death,BP-45509,RNA isolation_PAXgene Tissue miRNA,11/5/13,LCSET-4817,3/22/14,TrueSeq.v1,USE ME,,0.81654733,42993,0.95091337,1324,0.8645392,0.9061014,0.20142733,23093,0.30803165,0.82576436,76,28.181866,0.004399711,390,13647152,86642232,0.04902076,15129582,100217814,5720484,0.7537187,134462,39881955,105716,0.05874658,0,0.044811968,0.26630545,0.7833602,26688550,0.004664029,17478858,8056789,18053339,338,19585377,3830379,0.004524534,19954892,50.467266,0.15096699,0.9125311,722,0.6919683,50.8084
GTEX-139TS-0011-R8a-SM-5J1NP,,"B1, A1",,5.9,Brain,Brain - Hypothalamus,1898,,,Presumed Death,BP-45421,RNA isolation_PAXgene Tissue miRNA,11/4/13,LCSET-4816,3/22/14,TrueSeq.v1,USE ME,,0.89779156,71760,0.9663177,1309,0.9065906,0.9284119,0.23990375,23494,0.32821152,0.819063,76,28.314783,0.004009014,394,14312735,83222859,0.033540223,14044943,91797616,5800568,0.7846739,137711,40161220,132925,0.07180912,0,0.0379058,0.29755348,0.84168947,27314699,0.003710221,17770373,6157550,18405106,362,18398696,5695239,0.003861067,18462236,50.08619,0.152999,0.9153897,744,0.6717885,50.877296
GTEX-139TT-0011-R5b-SM-5K7W8,,"B1, A1",,6.6,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-45421,RNA isolation_PAXgene Tissue miRNA,11/4/13,LCSET-4818,3/12/14,TrueSeq.v1,USE ME,,0.91202044,97017,0.95786965,1098,0.92069054,0.9164761,0.26289484,25196,0.61150676,0.8090588,76,65.28702,0.003578512,408,45681571,96831247,0.041776743,8637600,105172420,6830028,0.6714001,145381,46722727,98971,0.05514009,0,0.04139356,0.5630085,0.8437908,59212958,0.00297824,20140606,5901724,20462038,374,20601681,12756322,0.003281202,20760129,50.19154,0.082127996,0.92936057,798,0.38849327,50.395824
GTEX-139TT-0011-R6b-SM-5J2ON,,"B1, A1",,6.4,Brain,Brain - Nucleus accumbens (basal ganglia),1882,,,Actual Death,BP-45525,RNA isolation_PAXgene Tissue miRNA,11/6/13,LCSET-4817,3/22/14,TrueSeq.v1,USE ME,,0.8319735,94527,0.96295726,796,0.8795408,0.8967735,0.29460898,26230,0.62848145,0.7040716,76,60.8739,0.003561434,295,50120885,96514518,0.036647428,7813966,109732848,5658894,0.6130635,148399,44409876,59216,0.033090957,0,0.06618372,0.55277514,0.7887489,60657587,0.003814374,19485704,5595217,19832832,314,21815263,12528561,0.003681065,21936930,50.13904,0.071209,0.92710805,851,0.37151852,50.44143
GTEX-139TU-0011-R5b-SM-5L3E1,,"C1, A1",,6.4,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-45509,RNA isolation_PAXgene Tissue miRNA,11/5/13,LCSET-4822,3/23/14,TrueSeq.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-139UC-0011-R5b-SM-5K7VY,,"B1, A1",,8.4,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-45421,RNA isolation_PAXgene Tissue miRNA,11/4/13,LCSET-4818,3/12/14,TrueSeq.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-139UC-0011-R6b-SM-5K7Z1,,"B1, A1",,7.7,Brain,Brain - Nucleus accumbens (basal ganglia),1882,,,Actual Death,BP-45509,RNA isolation_PAXgene Tissue miRNA,11/5/13,LCSET-4819,3/16/14,TrueSeq.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-139UC-0011-R8b-SM-5IJCL,,"B1, A1",,6.3,Brain,Brain - Hypothalamus,1898,,,Actual Death,BP-45525,RNA isolation_PAXgene Tissue miRNA,11/6/13,LCSET-4814,3/4/14,TrueSeq.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-139UC-3126-SM-5J1OY,1,B1,"2 pieces, no abnormalities",6.2,Brain,Brain - Cortex,1870,912,885,Actual Death,BP-46925,RNA Extraction from Paxgene-derived Lysate Plate Based,12/10/13,LCSET-4816,3/22/14,TrueSeq.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-13CF2-0011-R5a-SM-5LZWS,,"B1, A1",,6.8,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-46372,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.9305087,41749,0.97035456,1257,0.93402374,0.92583996,0.23497371,23385,0.36194146,0.74302506,76,32.026978,0.002657424,403,16427833,84590171,0.029531943,12065656,90565326,4957486,0.67437947,138641,41188398,99236,0.05324108,0,0.044514608,0.3380619,0.8647565,30616688,0.002731024,18105947,5304265,19190598,350,19101690,4730179,0.002694086,18466682,49.15486,0.13322599,0.9375389,753,0.6380586,51.454094
GTEX-13CF2-0011-R8b-SM-5IJCX,,"B1, A1",,8.2,Brain,Brain - Hypothalamus,1898,,,Actual Death,BP-45421,RNA isolation_PAXgene Tissue miRNA,11/4/13,LCSET-4814,3/4/14,TrueSeq.v1,USE ME,,0.9244051,55170,0.9553747,928,0.9348437,0.88491404,0.26109114,25562,0.6446769,0.77207106,76,34.426594,0.003779113,190,31946171,60371130,0.04433843,5601762,64578844,7954192,0.6468877,147445,29200641,62763,0.032494184,0,0.0704606,0.60267216,0.8272564,38919874,0.002903795,12745517,3807264,12818082,184,12868991,6225044,0.003346341,13264735,50.757153,0.08674299,0.94528246,831,0.3553231,50.14193
GTEX-13CIG-0011-R5b-SM-5L3F2,,"B1, A1",,7.6,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-45421,RNA isolation_PAXgene Tissue miRNA,11/4/13,LCSET-4822,3/23/14,TrueSeq.v1,USE ME,,0.9237936,45116,0.96122277,1203,0.93547064,0.90618634,0.27222395,23282,0.48452038,0.78900856,76,29.10064,0.003058929,217,18662756,63019691,0.038624816,9052081,67366834,7101000,0.7032301,137874,30498654,104684,0.056610428,0,0.055036496,0.45325455,0.84771067,30534324,0.00290741,13418164,4426774,13776877,232,13863528,4658866,0.002984115,13997493,50.240417,0.13437,0.94714767,778,0.5154796,50.65952
GTEX-13CIG-0011-R8b-SM-5LZX5,,"B1, A1",,7.7,Brain,Brain - Hypothalamus,1898,,,Actual Death,BP-46372,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.9276536,66632,0.9621576,967,0.93199414,0.8985593,0.25229004,24857,0.7318873,0.81118834,76,46.79063,0.002485336,226,49972687,63849731,0.037552454,4198077,68508728,3885848,0.6705541,144575,30894374,74419,0.04033395,0,0.06359833,0.68211466,0.83745193,46730808,0.002564178,13446919,3290334,13686534,208,13714099,8356784,0.002524573,13668840,49.917355,0.06127799,0.93633467,835,0.2681127,50.44155
GTEX-13CZV-0011-R10b-SM-5LZYD,,"B1, A1",,7.1,Brain,Brain - Frontal Cortex (BA9),9834,,,Actual Death,BP-46332,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.92684245,66489,0.9602955,775,0.93052644,0.8747978,0.29008406,25124,0.7761988,0.7797496,76,47.149544,0.002678179,215,62239436,63043430,0.039410766,2908248,67750290,3968462,0.67329973,143559,30472608,61826,0.033411838,0,0.08549769,0.72227347,0.8140225,48934236,0.002747851,13085411,2824149,13296697,196,13312832,7563988,0.002712877,13275730,49.93023,0.042925987,0.9342103,844,0.22380117,50.400436
GTEX-13CZV-0011-R5a-SM-5K7XA,,"B1, A1",,8.5,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-45509,RNA isolation_PAXgene Tissue miRNA,11/5/13,LCSET-4819,3/16/14,TrueSeq.v1,USE ME,,0.9314392,57738,0.95853186,971,0.93932426,0.88485986,0.2515845,24914,0.61397356,0.7772174,76,37.206894,0.002814424,223,30801834,65701122,0.04125184,5843282,69945088,12781994,0.67953867,143485,31894394,69149,0.037621237,0,0.07367196,0.5767203,0.8311704,40338752,0.002904564,14029684,4149073,13993987,238,14030759,6236822,0.002859116,14458704,50.751053,0.08354099,0.9472094,838,0.38602644,49.936306
GTEX-13FHO-0011-R10b-SM-5J2MM,,"C1, A1",,8.5,Brain,Brain - Frontal Cortex (BA9),9834,,,Actual Death,BP-46364,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4817,3/22/14,TrueSeq.v1,USE ME,,0.8281629,93471,0.96183217,639,0.8762092,0.87672204,0.3084439,27052,0.7317483,0.7363211,76,72.023674,0.003666436,303,84675098,98989375,0.03766076,3705566,112974594,6131510,0.58252877,150651,45398193,42265,0.023061061,0,0.085110165,0.64116454,0.76819193,72435305,0.003924635,19675478,5149281,19995133,299,22066180,14307030,0.003788457,22160540,50.106678,0.032799993,0.9242554,902,0.26825172,50.40288
GTEX-13FHO-0011-R5b-SM-5LZZ3,,"C1, A1",,7.6,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-46932,RNA isolation_PAXgene Tissue miRNA,12/10/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.91757125,67938,0.94802755,886,0.9223767,0.85394174,0.31803396,24726,0.7230526,0.8027965,76,36.28297,0.002745255,186,41512802,55738139,0.051676035,3737704,60428824,3349966,0.63364136,143583,26882222,62950,0.03421653,0,0.09408579,0.6669269,0.78765595,40301610,0.002874293,11601142,3438689,11719227,166,11766118,6711316,0.002809438,11793617,50.058357,0.061853,0.9271821,840,0.27694732,50.25318
GTEX-13FHO-0011-R6b-SM-5LZX1,,"C1, A1",,5.8,Brain,Brain - Nucleus accumbens (basal ganglia),1882,,,Actual Death,BP-46332,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.9277021,76149,0.9679219,998,0.9313496,0.90023404,0.25536114,24692,0.56661826,0.7938877,76,42.10244,0.002819621,292,29344751,74486238,0.031922434,7155992,79976668,4427816,0.72544926,141002,36097023,85057,0.04435513,0,0.067687884,0.5277197,0.8384326,42205264,0.002896464,15966767,4333678,16305839,288,16276992,6598692,0.002857892,16242264,49.946606,0.08947599,0.934997,793,0.4333817,50.525326
GTEX-13FHO-3026-SM-5J1O9,2,C1,4 pieces; mild to focally moderate autolysis,6.8,Brain,Brain - Cortex,1870,793,368,Actual Death,BP-46978,RNA Extraction from Paxgene-derived Lysate Plate Based,12/11/13,LCSET-4816,3/22/14,TrueSeq.v1,USE ME,,0.91133106,88152,0.9684848,779,0.91994685,0.876131,0.28695017,26111,0.742466,0.81885064,76,59.490902,0.00342456,280,65534889,78913877,0.031170562,2331610,85780908,4670086,0.61364746,147967,37961370,57518,0.031855408,0,0.092353776,0.68302923,0.805994,58590874,0.003136487,16459731,3344085,16665739,247,16810777,11004892,0.003281873,16934467,50.183273,0.027180988,0.9285626,867,0.25753397,50.31095
GTEX-13FHP-0011-R5b-SM-5LZY2,,"C1, A1",,6,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-46332,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.9240682,39229,0.96978265,1145,0.92827815,0.91159534,0.250938,23223,0.4349385,0.77758205,76,24.699514,0.003033451,259,15488278,62100975,0.030105695,7651050,66899106,3801510,0.67273486,137683,30116759,82410,0.045417394,0,0.05818725,0.4037439,0.846214,27010103,0.003140614,13368060,3760175,13805013,230,13753794,3715114,0.00308679,13657943,49.825165,0.114367,0.9324881,756,0.5650615,50.80402
GTEX-13FHP-0011-R6b-SM-5LZY6,,"C1, A1",,7.1,Brain,Brain - Nucleus accumbens (basal ganglia),1882,,,Actual Death,BP-46372,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.9274855,47458,0.970029,1346,0.9312819,0.91677,0.25525704,23316,0.4590158,0.879096,76,28.119577,0.00295491,246,16928417,62453867,0.02987658,7969678,67062254,3751550,0.80252826,134178,30307565,103437,0.0574741,0,0.053259023,0.42747313,0.8537713,28667311,0.003030391,13283049,3625372,13964810,241,13906518,3719731,0.002992496,13556542,49.362823,0.118839994,0.9350784,744,0.5409842,51.251034
GTEX-13FHP-3026-SM-5IJBS,1,C1,4 pieces; adherent meninges on 1 piece [annotated],6.1,Brain,Brain - Cortex,1870,934,1016,Actual Death,BP-46978,RNA Extraction from Paxgene-derived Lysate Plate Based,12/11/13,LCSET-4814,3/4/14,TrueSeq.v1,USE ME,,0.92727363,84159,0.96900344,635,0.9377817,0.8785845,0.29888663,26501,0.68980354,0.7692567,76,63.66071,0.003866539,338,59169514,91970261,0.030679634,4588501,98072142,13284184,0.62099165,148815,44434772,46678,0.02629631,0,0.09041903,0.64688516,0.8239205,63441415,0.002940608,19362392,4356292,19351822,312,19475277,11037062,0.003408761,20108149,50.799416,0.046786997,0.94828975,876,0.3101964,49.986347
GTEX-13FLV-0011-R10b-SM-5LZZ2,,"B1, A1",,6.5,Brain,Brain - Frontal Cortex (BA9),9834,,,Actual Death,BP-46332,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.9231076,53656,0.96502644,924,0.92765075,0.8842875,0.26521966,24437,0.7207012,0.7984813,76,35.85738,0.002620729,215,39610186,53679831,0.034679096,3203427,57866422,3201590,0.64921117,142562,25917871,67921,0.03669769,0,0.080738924,0.668559,0.82030994,38687121,0.002733154,11254770,2510861,11421474,173,11436874,6087837,0.002676666,11458826,50.04794,0.055358995,0.93219393,831,0.27929875,50.367577
GTEX-13FLV-0011-R5a-SM-5LZWT,,"B1, A1",,7.6,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-46372,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.9273795,61484,0.96099937,936,0.93094814,0.89090097,0.27860585,24711,0.630943,0.8904636,76,42.501633,0.002525552,237,34235576,68164407,0.03877983,6464776,73220414,3955908,0.67814535,142841,33011004,70723,0.04016043,0,0.070098385,0.58737516,0.82938254,43007856,0.002612193,14439830,3823239,14734612,253,14719837,7081501,0.002568707,14674266,49.92248,0.08829199,0.9345167,814,0.369057,50.505207
GTEX-13FLV-0011-R6a-SM-5KLZ4,,"B1, A1",,7.8,Brain,Brain - Nucleus accumbens (basal ganglia),1882,,,Actual Death,BP-46363,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4820,3/20/14,TrueSeq.v1,USE ME,,0.9150833,80176,0.9648967,900,0.92396206,0.8912767,0.24768722,25640,0.6771346,0.7677211,76,54.76916,0.003112658,296,47684152,77971655,0.034877814,6313094,84388376,3566432,0.73521423,144134,37576070,65853,0.03495254,0,0.073619954,0.62564665,0.8235058,52797304,0.002792343,16291467,3869494,16657991,281,16768420,8853524,0.00295404,16812359,50.065422,0.07481,0.9328407,840,0.32286543,50.55619
GTEX-13FLV-0011-R8a-SM-5LZZE,,"B1, A1",,7.3,Brain,Brain - Hypothalamus,1898,,,Actual Death,BP-46332,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.92818844,58282,0.96869606,924,0.931921,0.89519703,0.27862817,25162,0.6892275,0.7661041,76,41.394306,0.002497723,283,38578809,60423544,0.031031977,4124904,64837626,3627478,0.66125554,145386,29234117,65368,0.035314925,0,0.07349908,0.6423056,0.8342529,41645567,0.002579086,12689136,2967170,12901397,205,12891322,7125098,0.002538241,12901935,50.020576,0.06361899,0.93565357,815,0.3107725,50.414726
GTEX-13FLW-0011-R10b-SM-5LZZF,,"B1, A1",,6.8,Brain,Brain - Frontal Cortex (BA9),9834,,,Actual Death,BP-46932,RNA isolation_PAXgene Tissue miRNA,12/10/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.9297976,67109,0.9622308,791,0.9328231,0.8869925,0.3070217,25021,0.75242716,0.81457037,76,49.810493,0.002661329,278,56029678,64802401,0.037359696,3196551,69469118,3686332,0.62958723,144355,31383700,60996,0.03614929,0,0.075238265,0.7018814,0.8274071,48759084,0.002724856,13453481,3108162,13601233,210,13605329,8474841,0.00269299,13623425,50.03323,0.046013985,0.93584865,845,0.24757288,50.27306
GTEX-13FLW-0011-R5a-SM-5LZX6,,"B1, A1",,7.8,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-46372,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.9176616,56836,0.95287955,991,0.9221074,0.8842234,0.26174617,24353,0.6172376,0.86799425,76,35.16929,0.002970546,203,28817305,60555470,0.046906907,6003815,65670738,3712950,0.6612719,141964,29269679,76102,0.04365827,0,0.06865619,0.5691594,0.8153489,37377115,0.003070945,12675926,3751629,12970459,193,12977023,5993866,0.003020503,12909849,49.87026,0.09142299,0.92655325,811,0.38276237,50.574223
GTEX-13FLW-0011-R6b-SM-5L3EN,,"B1, A1",,7.4,Brain,Brain - Nucleus accumbens (basal ganglia),1882,,,Actual Death,BP-46364,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4822,3/23/14,TrueSeq.v1,USE ME,,0.92183423,83026,0.9547489,781,0.9328089,0.8684387,0.2917322,25834,0.70983076,0.76036483,76,49.10439,0.003199802,228,51550645,73387662,0.04488264,5521959,78673846,8529066,0.6233875,146584,35407155,59480,0.032999143,0,0.086310245,0.66213644,0.8100873,52092820,0.002988918,15304159,4229396,15446557,246,15671534,9085310,0.003095601,15799410,50.203163,0.070187986,0.9437834,850,0.29016924,50.231537
GTEX-13FLW-0011-R8b-SM-5J1MZ,,"B1, A1",,6.4,Brain,Brain - Hypothalamus,1898,,,Actual Death,BP-46364,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4816,3/22/14,TrueSeq.v1,USE ME,,0.91028386,96146,0.9665713,899,0.9183872,0.9091116,0.23014838,25904,0.55683607,0.8751021,76,62.529953,0.003677434,520,38039601,99287559,0.03326418,8926491,108110784,5868248,0.7671787,146229,47877474,65265,0.035233527,0,0.057459667,0.5113911,0.8349165,55286897,0.003349362,20048082,5179608,20544693,402,20535197,9702082,0.003514845,20765822,50.279198,0.082568,0.9264904,841,0.44316393,50.611694
GTEX-13FLW-1426-SM-5K7YE,1,B1,2 pieces; oversized,6.8,Brain,Brain - Cortex,1870,1431,1041,Actual Death,BP-46734,RNA Extraction from Paxgene-derived Lysate Plate Based,12/6/13,LCSET-4819,3/16/14,TrueSeq.v1,USE ME,,0.92988044,53529,0.9670201,898,0.93873334,0.8936418,0.24806763,24716,0.7391171,0.7765037,76,43.349617,0.002771355,222,46243257,57297925,0.032654796,2755415,61037486,10907110,0.6543249,143445,27753868,62747,0.0345902,0,0.07337831,0.6938339,0.8388913,42349876,0.002886956,11993636,2991511,12033925,175,12113451,7271556,0.00282861,12366662,50.51718,0.045142993,0.9475862,826,0.2608829,50.083843
GTEX-13FTZ-0011-R10b-SM-5KLZS,,"B1, A1",,8.2,Brain,Brain - Frontal Cortex (BA9),9834,,,Actual Death,BP-46364,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4820,3/20/14,TrueSeq.v1,USE ME,,0.9150011,55707,0.96223384,928,0.92411447,0.8888909,0.24954045,25505,0.58421993,0.8132599,76,42.857113,0.003240181,289,33211560,78840363,0.037552338,6697870,85314500,3926820,0.6997715,145501,38075869,69518,0.038673665,0,0.07334296,0.53988606,0.82143694,46060109,0.002924756,16563231,4742329,16949706,282,17032908,6630039,0.003084024,17134468,50.14862,0.078508,0.93322796,817,0.41578013,50.576607
GTEX-13FXS-0011-R10a-SM-5J2MA,,"B1, A1",,6.2,Brain,Brain - Frontal Cortex (BA9),9834,,,Actual Death,BP-46363,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4817,3/22/14,TrueSeq.v1,USE ME,,0.8272106,84452,0.96246094,907,0.8742128,0.89983016,0.26376525,25911,0.6345208,0.8399906,76,60.711952,0.004040316,298,50577102,94123588,0.037199806,5316364,107666670,5582036,0.65158397,146805,43230343,65969,0.037032504,0,0.06263072,0.5547063,0.786643,59723374,0.004339348,18801469,4833207,19074612,308,20902317,11509969,0.004181793,21209903,50.3652,0.049377993,0.92121506,841,0.36547923,50.360577
GTEX-13FXS-0011-R5b-SM-5LZYE,,"B1, A1",,7.6,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-46332,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4901,3/23/14,TrueSeq.v1,USE ME,,0.9235804,61960,0.9631106,954,0.9282165,0.8807002,0.30598572,24775,0.6605486,0.8221024,76,38.493282,0.003040016,195,35575379,63045251,0.036649153,4068526,67920844,3645730,0.6572533,143133,30470109,67293,0.037211984,0,0.082410425,0.6131322,0.81748044,41644456,0.003135226,13316852,3185752,13643385,195,13672424,6336577,0.003087383,13552447,49.77965,0.059900988,0.93285257,850,0.33945134,50.605587
GTEX-13FXS-0011-R6b-SM-5L3F7,,"B1, A1",,7.1,Brain,Brain - Nucleus accumbens (basal ganglia),1882,,,Actual Death,BP-46364,RNA isolation_PAXgene Tissue miRNA,12/2/13,LCSET-4822,3/23/14,TrueSeq.v1,USE ME,,0.92502564,70565,0.94908726,884,0.9352783,0.8563226,0.27558714,26162,0.66769737,0.7775654,76,44.108818,0.003449719,242,42254816,72801603,0.050588958,5991228,77839502,8180326,0.62366855,147978,35194457,61387,0.03201617,0,0.092764705,0.62448287,0.8009,48609435,0.003231486,15152536,4998580,15310242,238,15495848,7896122,0.003341799,15627823,50.212017,0.07696899,0.945531,854,0.3323027,50.258854
