Assay_Type_s	AssemblyName_s	AvgSpotLen_l	BioSample_s	Center_Name_s	Experiment_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	data_type_s	instrument_name_s	lane_s	library_type_s	product_order_s	product_part_number_s	work_request_s	BioProject_s	Consent_s	Organism_s	Platform_s	SRA_Study_s
RNA-Seq	GRCh37	152	SAMN01773029	BI	SRX203861	222	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94850	2014-10-02	6866	4000	2012-11-08	SRR613675	SRS374893	GTEX-POMQ-2326-SM-2S1O8							29764	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772903	BI	SRX203862	194	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94834	2014-10-02	7549	4410	2012-11-08	SRR613687	SRS374894	GTEX-PLZ6-1726-SM-2S1O6							29764	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773003	BI	SRX203864	238	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93763	2014-10-02	6419	3528	2012-11-08	SRR614167	SRS374895	GTEX-RM2N-0006-SM-2TF5H							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772696	BI	SRX203868	217	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93026	2014-10-02	7099	4204	2012-11-09	SRR615177	SRS374896	GTEX-QDVJ-0005-SM-2TC5X							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772664	BI	SRX203869	213	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93833	2014-10-02	7451	4124	2012-11-08	SRR613831	SRS374897	GTEX-QDVN-2226-SM-2S1PM							29765	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772248	BI	SRX203871	258	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93764	2014-10-02	7306	3819	2012-11-08	SRR613699	SRS374898	GTEX-RM2N-1626-SM-2TF5N							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772284	BI	SRX203873	219	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94828	2014-10-02	7628	4479	2012-11-08	SRR613879	SRS374899	GTEX-P4QT-1626-SM-2S1NP							29764	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772643	BI	SRX203875	197	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93057	2014-10-02	8328	4856	2012-11-08	SRR613711	SRS374900	GTEX-RN64-0626-SM-2TC5V							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772621	BI	SRX203878	249	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93744	2014-10-02	6301	3419	2012-11-08	SRR613723	SRS374901	GTEX-R55F-0005-SM-2TF4W							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772858	BI	SRX203882	315	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93758	2014-10-02	6027	2992	2012-11-08	SRR613843	SRS374903	GTEX-REY6-0726-SM-2TF4M							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772777	BI	SRX203884	168	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-92917	2014-10-02	6813	3811	2012-11-08	SRR613735	SRS374904	GTEX-QVJO-0011-R1A-SM-2S1QI							29766	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773116	BI	SRX203887	186	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93747	2014-10-02	7877	4929	2012-11-09	SRR615213	SRS374905	GTEX-R55F-1326-SM-2TF5F							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772231	BI	SRX203888	177	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93857	2014-10-02	8113	4542	2012-11-08	SRR613747	SRS374906	GTEX-RU72-2926-SM-2TF66							29808	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772480	BI	SRX203890	242	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93773	2014-10-02	6288	3171	2012-11-08	SRR614310	SRS374907	GTEX-RNOR-2326-SM-2TF4I							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773011	BI	SRX203893	185	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93870	2014-10-02	6533	3638	2012-11-08	SRR613759	SRS374908	GTEX-RUSQ-0526-SM-2TF72							29808	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772341	BI	SRX203895	229	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93821	2014-10-02	7474	4103	2012-11-08	SRR613903	SRS374909	GTEX-QEG5-0626-SM-2S1PP							29765	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773021	BI	SRX203896	267	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93757	2014-10-02	5741	2898	2012-11-08	SRR613771	SRS374910	GTEX-REY6-0626-SM-2TF4G							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772878	BI	SRX203898	169	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93061	2014-10-02	7784	4557	2012-11-09	SRR615249	SRS374911	GTEX-N7MT-1226-SM-2TC6K							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772546	BI	SRX203902	186	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93027	2014-10-02	9537	5535	2012-11-09	SRR615359	SRS374912	GTEX-QEG5-0926-SM-2TC64							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772836	BI	SRX203904	206	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93034	2014-10-02	7548	4384	2012-11-09	SRR615419	SRS374913	GTEX-R55E-0126-SM-2TC5Y							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773124	BI	SRX203907	192	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93047	2014-10-02	6490	3783	2012-11-09	SRR615874	SRS374914	GTEX-R55G-2426-SM-2TC5I							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773136	BI	SRX203911	205	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94857	2014-10-02	6916	4104	2012-11-09	SRR615778	SRS374916	GTEX-PLZ4-0226-SM-2S1NW							29764	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772694	BI	SRX203913	203	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93811	2014-10-02	4615	2581	2012-11-09	SRR615105	SRS374917	GTEX-PWOO-2326-SM-2S1PQ							29765	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772947	BI	SRX203915	224	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93785	2014-10-02	7612	3963	2012-11-08	SRR614131	SRS374918	GTEX-RTLS-0006-SM-2TF58							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772897	BI	SRX203917	212	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94941	2014-10-02	6717	3400	2012-11-09	SRR615201	SRS374919	GTEX-OOBK-0126-SM-2YUND							30530	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772991	BI	SRX203919	220	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93837	2014-10-02	5390	3015	2012-11-09	SRR615165	SRS374920	GTEX-Q2AH-1926-SM-2S1PN							29765	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773050	BI	SRX203921	183	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93848	2014-10-02	7368	3976	2012-11-08	SRR614023	SRS374921	GTEX-RU1J-0226-SM-2TF5Y							29808	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772219	BI	SRX203924	228	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94839	2014-10-02	6978	4046	2012-11-08	SRR614035	SRS374922	GTEX-P78B-0726-SM-2S1O2							29764	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772834	BI	SRX203926	219	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93814	2014-10-02	5906	3287	2012-11-09	SRR615371	SRS374923	GTEX-PWN1-1826-SM-2S1PE							29765	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772916	BI	SRX203928	175	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-92923	2014-10-02	6782	3778	2012-11-08	SRR614047	SRS374924	GTEX-QLQ7-1626-SM-2S1R8							29766	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772804	BI	SRX203930	216	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94824	2014-10-02	7548	4472	2012-11-08	SRR614059	SRS374925	GTEX-PWN1-0006-SM-2S1NG							29764	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773052	BI	SRX203932	207	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93876	2014-10-02	6499	3722	2012-11-09	SRR614767	SRS374926	GTEX-RVPV-0006-SM-2TF6Q							29808	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772325	BI	SRX203933	188	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94918	2014-10-02	6903	4171	2012-11-08	SRR614095	SRS374927	GTEX-OIZG-1526-SM-2YUNG							30530	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772987	BI	SRX203936	222	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93756	2014-10-02	6574	3267	2012-11-08	SRR614107	SRS374928	GTEX-REY6-0526-SM-2TF5M							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772807	BI	SRX203937	196	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93803	2014-10-02	4356	2443	2012-11-08	SRR614119	SRS374929	GTEX-Q2AG-0226-SM-2S1P4							29765	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772603	BI	SRX203940	179	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-92961	2014-10-02	5098	2808	2012-11-09	SRR615443	SRS374930	GTEX-QV44-1926-SM-2S1RF							29766	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773051	BI	SRX203941	190	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-92943	2014-10-02	6220	3383	2012-11-08	SRR614143	SRS374931	GTEX-QLQW-0005-SM-2S1RA							29766	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772267	BI	SRX203943	203	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93794	2014-10-02	6645	3676	2012-11-09	SRR614599	SRS374932	GTEX-PX3G-1626-SM-2S1PT							29765	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772744	BI	SRX203946	282	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93741	2014-10-02	6874	3739	2012-11-09	SRR615455	SRS374933	K-562-SM-2TF4E							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772863	BI	SRX203947	215	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93046	2014-10-02	7836	4654	2012-11-08	SRR614179	SRS374934	GTEX-R55G-0006-SM-2TC6O							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773143	BI	SRX203950	239	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94952	2014-10-02	6215	3073	2012-11-09	SRR614443	SRS374935	GTEX-N7MS-0011-R8a-SM-2YUMK							30530	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773138	BI	SRX203952	179	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-92948	2014-10-02	5488	3089	2012-11-08	SRR614191	SRS374936	GTEX-QESD-1526-SM-2S1QT							29766	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772314	BI	SRX203955	221	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93812	2014-10-02	7041	3928	2012-11-08	SRR614215	SRS374937	GTEX-PWOO-0526-SM-2S1Q3							29765	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772882	BI	SRX203958	186	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93038	2014-10-02	8796	5078	2012-11-09	SRR614814	SRS374938	GTEX-R55E-0011-R1A-SM-2TC6N							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772726	BI	SRX203960	197	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93869	2014-10-02	7248	4134	2012-11-08	SRR614275	SRS374939	GTEX-RUSQ-1026-SM-2TF6V							29808	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772512	BI	SRX203962	220	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94950	2014-10-02	6869	3416	2012-11-08	SRR614287	SRS374940	GTEX-NFK9-0426-SM-2YUNK							30530	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772360	BI	SRX203963	174	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93020	2014-10-02	7642	4449	2012-11-09	SRR615129	SRS374941	GTEX-QXCU-0626-SM-2TC69							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772619	BI	SRX203966	166	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93882	2014-10-02	8010	4576	2012-11-08	SRR614323	SRS374942	GTEX-RVPV-0011-R11A-SM-2TF6F							29808	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772655	BI	SRX203968	263	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93768	2014-10-02	6548	3541	2012-11-08	SRR614311	SRS374943	GTEX-RNOR-0005-SM-2TF4Z							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772498	BI	SRX203970	198	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93056	2014-10-02	7976	4643	2012-11-08	SRR614335	SRS374944	GTEX-RN64-0526-SM-2TC5P							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772373	BI	SRX203974	224	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94825	2014-10-02	5528	3248	2012-11-08	SRR614347	SRS374945	GTEX-P4PP-1726-SM-2S1NS							29764	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772803	BI	SRX203977	180	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93060	2014-10-02	8233	4832	2012-11-08	SRR614359	SRS374946	GTEX-RN64-1226-SM-2TC6E							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773107	BI	SRX203978	209	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94917	2014-10-02	8033	4167	2012-11-08	SRR613987	SRS374947	GTEX-NPJ7-1726-SM-2YUNA							30530	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772620	BI	SRX203980	169	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-92962	2014-10-02	5866	3049	2012-11-09	SRR615347	SRS374948	GTEX-QV44-0826-SM-2S1RG							29766	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773063	BI	SRX203982	218	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94930	2014-10-02	7951	4047	2012-11-09	SRR614623	SRS374949	GTEX-OXRK-0426-SM-2YUMT							30530	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772763	BI	SRX203984	199	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94818	2014-10-02	6274	3667	2012-11-09	SRR615008	SRS374950	GTEX-PLZ5-2026-SM-2S1O4							29764	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772872	BI	SRX203987	167	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-92938	2014-10-02	7419	3870	2012-11-09	SRR614563	SRS374951	GTEX-QVJO-0011-R4A-SM-2S1QL							29766	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772700	BI	SRX203988	187	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93854	2014-10-02	7083	4017	2012-11-09	SRR614743	SRS374952	GTEX-RU72-0126-SM-2TF6Z							29808	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772861	BI	SRX203991	183	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93043	2014-10-02	7958	4652	2012-11-08	SRR614083	SRS374953	GTEX-R55E-0011-R8A-SM-2TC66							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772293	BI	SRX203993	195	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93033	2014-10-02	8414	4907	2012-11-09	SRR615335	SRS374954	GTEX-R55E-1026-SM-2TC5S							29805	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772852	BI	SRX203996	211	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94959	2014-10-02	7117	3935	2012-11-08	SRR614206	SRS374955	GTEX-NPJ8-0126-SM-2YUNR							30530	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772490	BI	SRX203999	279	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93774	2014-10-02	6790	3394	2012-11-08	SRR614263	SRS374956	GTEX-RNOR-0526-SM-2TF4O							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772679	BI	SRX204000	207	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94945	2014-10-02	6009	3039	2012-11-09	SRR615623	SRS374957	GTEX-OXRL-0126-SM-2YUMP							30530	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772555	BI	SRX204003	238	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93835	2014-10-02	5696	3163	2012-11-08	SRR613999	SRS374958	GTEX-QEG4-0626-SM-2S1OY							29765	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772371	BI	SRX204005	174	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-92926	2014-10-02	2980	1810	2012-11-09	SRR614791	SRS374959	GTEX-QV31-1526-SM-2S1QB							29766	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773037	BI	SRX204007	242	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94913	2014-10-02	8088	4337	2012-11-09	SRR614503	SRS374960	GTEX-OHPN-0005-SM-2YUML							30530	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773045	BI	SRX204008	235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93743	2014-10-02	7067	3746	2012-11-09	SRR615886	SRS374961	GTEX-R55C-0626-SM-2TF4Q							29807	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772338	BI	SRX204010	208	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93863	2014-10-02	7043	4012	2012-11-09	SRR614515	SRS374962	GTEX-RU72-0011-R7A-SM-2TF5U							29808	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772433	BI	SRX204013	167	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-92945	2014-10-02	4079	2356	2012-11-09	SRR614924	SRS374963	GTEX-QVJO-0011-R7A-SM-2S1QO							29766	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772907	BI	SRX204015	229	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94843	2014-10-02	7581	4368	2012-11-09	SRR615032	SRS374964	GTEX-POMQ-2126-SM-2S1OJ							29764	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772467	BI	SRX204016	224	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93853	2014-10-02	7273	4047	2012-11-09	SRR615044	SRS374965	GTEX-RU72-1326-SM-2TF6T							29808	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772294	BI	SRX204018	205	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94916	2014-10-02	9073	4600	2012-11-09	SRR614755	SRS374966	GTEX-OXRO-0126-SM-2YUN4							30530	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772356	BI	SRX204021	188	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-92921	2014-10-02	5408	2938	2012-11-09	SRR614802	SRS374967	GTEX-QVJO-0011-R10A-SM-2S1QJ							29766	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772327	BI	SRX204022	218	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93873	2014-10-02	6842	3831	2012-11-09	SRR614852	SRS374968	GTEX-RUSQ-1726-SM-2TF68							29808	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772623	BI	SRX204025	174	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94922	2014-10-02	7477	3970	2012-11-09	SRR615599	SRS374969	GTEX-NPJ8-0011-R11A-SM-2YUMS							30530	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772843	BI	SRX204027	235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94921	2014-10-02	5961	2932	2012-11-09	SRR615659	SRS374970	GTEX-OOBJ-0226-SM-2YUMM							30530	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772635	BI	SRX204029	188	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93831	2014-10-02	5907	3352	2012-11-09	SRR615934	SRS374971	GTEX-PWO3-0011-R2A-SM-2S1OX							29765	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01773127	BI	SRX204031	167	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-93881	2014-10-02	6045	3312	2012-11-09	SRR615096	SRS374972	GTEX-RVPV-0011-R5A-SM-2TF69							29808	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN01772438	BI	SRX204033	195	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-94851	2014-10-02	5992	3788	2012-11-09	SRR614779	SRS374973	GTEX-PWCY-1826-SM-2S1OK							29764	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
